,date,load
80,2023-08-31 00:00:00,42.92
81,2023-08-31 01:00:00,35.53
82,2023-08-31 02:00:00,46.02
83,2023-08-31 03:00:00,47.97
84,2023-08-31 04:00:00,74.02
85,2023-08-31 05:00:00,91.43
86,2023-08-31 06:00:00,96.83
87,2023-08-31 07:00:00,116.38
88,2023-08-31 08:00:00,162.87
89,2023-08-31 09:00:00,210.7
90,2023-08-31 10:00:00,235.07
91,2023-08-31 11:00:00,252.53
92,2023-08-31 12:00:00,220.93
93,2023-08-31 13:00:00,245.44
94,2023-08-31 14:00:00,252.37
95,2023-08-31 15:00:00,248.32
96,2023-08-31 16:00:00,245.39
97,2023-08-31 17:00:00,226.81
98,2023-08-31 18:00:00,205.52
99,2023-08-31 19:00:00,185.52
100,2023-08-31 20:00:00,172.31
101,2023-08-31 21:00:00,127.64
102,2023-08-31 22:00:00,100.42
103,2023-08-31 23:00:00,66.36
104,2023-09-01 00:00:00,42.2
105,2023-09-01 01:00:00,33.38
106,2023-09-01 02:00:00,42.92
107,2023-09-01 03:00:00,45.43
108,2023-09-01 04:00:00,72.39
109,2023-09-01 05:00:00,90.77
110,2023-09-01 06:00:00,95.19
111,2023-09-01 07:00:00,114.61
112,2023-09-01 08:00:00,160.51
113,2023-09-01 09:00:00,206.79
114,2023-09-01 10:00:00,235.25
115,2023-09-01 11:00:00,249.02
116,2023-09-01 12:00:00,246.28
117,2023-09-01 13:00:00,245.9
118,2023-09-01 14:00:00,248.25
119,2023-09-01 15:00:00,246.12
120,2023-09-01 16:00:00,244.16
121,2023-09-01 17:00:00,224.88
122,2023-09-01 18:00:00,202.97
123,2023-09-01 19:00:00,191.63
124,2023-09-01 20:00:00,174.09
125,2023-09-01 21:00:00,133.2
126,2023-09-01 22:00:00,94.65
127,2023-09-01 23:00:00,59.2
128,2023-09-02 00:00:00,11.6
129,2023-09-05 13:00:00,184.65
130,2023-09-05 14:00:00,248.06
131,2023-09-05 15:00:00,247.75
132,2023-09-05 16:00:00,246.07
133,2023-09-05 17:00:00,225.86
134,2023-09-05 18:00:00,204.22
135,2023-09-05 19:00:00,194.62
136,2023-09-05 20:00:00,182.3
137,2023-09-05 21:00:00,136.76
138,2023-09-05 22:00:00,101.22
139,2023-09-05 23:00:00,66.19
140,2023-09-06 00:00:00,46.21
141,2023-09-06 01:00:00,30.91
142,2023-09-06 02:00:00,44.27
143,2023-09-06 03:00:00,44.54
144,2023-09-06 04:00:00,73.08
145,2023-09-06 05:00:00,87.91
146,2023-09-06 06:00:00,95.05
147,2023-09-06 07:00:00,115.04
148,2023-09-06 08:00:00,164.28
149,2023-09-06 09:00:00,215.7
150,2023-09-06 10:00:00,238.29
151,2023-09-06 11:00:00,248.18
152,2023-09-06 12:00:00,247.51
153,2023-09-06 13:00:00,246.69
154,2023-09-06 14:00:00,252.84
155,2023-09-06 15:00:00,247.5
156,2023-09-06 16:00:00,246.02
157,2023-09-06 17:00:00,225.56
158,2023-09-06 18:00:00,202.97
159,2023-09-06 19:00:00,192.12
160,2023-09-06 20:00:00,178.99
161,2023-09-06 21:00:00,135.53
162,2023-09-06 22:00:00,102.89
163,2023-09-06 23:00:00,66.58
164,2023-09-07 00:00:00,48.25
165,2023-09-07 01:00:00,38.89
166,2023-09-07 02:00:00,51.38
167,2023-09-07 03:00:00,44.68
168,2023-09-07 04:00:00,72.7
169,2023-09-07 05:00:00,88.0
170,2023-09-07 06:00:00,94.72
171,2023-09-07 07:00:00,113.94
172,2023-09-07 08:00:00,161.41
173,2023-09-07 09:00:00,214.09
174,2023-09-07 10:00:00,235.31
175,2023-09-07 11:00:00,245.99
176,2023-09-07 12:00:00,246.17
177,2023-09-07 13:00:00,245.82
178,2023-09-07 14:00:00,246.01
179,2023-09-07 15:00:00,245.98
180,2023-09-07 16:00:00,240.41
181,2023-09-07 17:00:00,216.93
182,2023-09-07 18:00:00,202.5
183,2023-09-07 19:00:00,188.46
184,2023-09-07 20:00:00,169.13
185,2023-09-07 21:00:00,121.7
186,2023-09-07 22:00:00,88.27
187,2023-09-07 23:00:00,58.37
188,2023-09-08 00:00:00,32.93
189,2023-09-08 01:00:00,30.26
190,2023-09-08 02:00:00,42.64
191,2023-09-08 03:00:00,44.91
192,2023-09-08 04:00:00,73.26
193,2023-09-08 05:00:00,88.04
194,2023-09-08 06:00:00,97.9
195,2023-09-08 07:00:00,117.28
196,2023-09-08 08:00:00,159.58
197,2023-09-08 09:00:00,206.16
198,2023-09-08 10:00:00,230.15
199,2023-09-08 11:00:00,246.01
200,2023-09-08 12:00:00,245.78
201,2023-09-08 13:00:00,245.97
202,2023-09-08 14:00:00,245.9
203,2023-09-08 15:00:00,245.97
204,2023-09-08 16:00:00,241.3
205,2023-09-08 17:00:00,217.19
206,2023-09-08 18:00:00,203.03
207,2023-09-08 19:00:00,187.74
208,2023-09-08 20:00:00,173.97
209,2023-09-08 21:00:00,131.34
210,2023-09-08 22:00:00,101.2
211,2023-09-08 23:00:00,59.29
212,2023-09-09 00:00:00,44.56
213,2023-09-09 01:00:00,44.13
214,2023-09-09 02:00:00,33.07
215,2023-09-09 03:00:00,32.37
216,2023-09-09 04:00:00,33.35
217,2023-09-09 05:00:00,31.74
218,2023-09-09 06:00:00,36.48
219,2023-09-09 07:00:00,39.47
220,2023-09-09 08:00:00,42.51
221,2023-09-09 09:00:00,44.4
222,2023-09-09 10:00:00,46.59
223,2023-09-09 11:00:00,51.85
224,2023-09-09 12:00:00,57.2
225,2023-09-09 13:00:00,57.91
226,2023-09-09 14:00:00,54.78
227,2023-09-09 15:00:00,54.38
228,2023-09-09 16:00:00,54.25
229,2023-09-09 17:00:00,51.36
230,2023-09-09 18:00:00,49.28
231,2023-09-09 19:00:00,46.35
232,2023-09-09 20:00:00,45.86
233,2023-09-09 21:00:00,44.42
234,2023-09-09 22:00:00,44.35
235,2023-09-09 23:00:00,44.42
236,2023-09-10 00:00:00,44.38
237,2023-09-10 01:00:00,44.38
238,2023-09-10 02:00:00,44.33
239,2023-09-10 03:00:00,44.39
240,2023-09-10 04:00:00,44.27
241,2023-09-10 05:00:00,30.67
242,2023-09-10 06:00:00,34.46
243,2023-09-10 07:00:00,39.9
244,2023-09-10 08:00:00,40.18
245,2023-09-10 09:00:00,44.36
246,2023-09-10 10:00:00,44.37
247,2023-09-10 11:00:00,45.44
248,2023-09-10 12:00:00,54.81
249,2023-09-10 13:00:00,57.54
250,2023-09-10 14:00:00,55.65
251,2023-09-10 15:00:00,56.09
252,2023-09-10 16:00:00,54.05
253,2023-09-10 17:00:00,52.68
254,2023-09-10 18:00:00,50.68
255,2023-09-10 19:00:00,44.82
256,2023-09-10 20:00:00,45.17
257,2023-09-10 21:00:00,44.5
258,2023-09-10 22:00:00,42.28
259,2023-09-10 23:00:00,37.85
260,2023-09-11 00:00:00,37.08
261,2023-09-11 01:00:00,29.96
262,2023-09-11 02:00:00,42.35
263,2023-09-11 03:00:00,44.34
264,2023-09-11 04:00:00,69.61
265,2023-09-11 05:00:00,87.32
266,2023-09-11 06:00:00,87.56
267,2023-09-11 07:00:00,110.73
268,2023-09-11 08:00:00,159.63
269,2023-09-11 09:00:00,204.34
270,2023-09-11 10:00:00,231.31
271,2023-09-11 11:00:00,245.76
272,2023-09-11 12:00:00,245.87
273,2023-09-11 13:00:00,244.81
274,2023-09-11 14:00:00,245.95
275,2023-09-11 15:00:00,246.01
276,2023-09-11 16:00:00,241.85
277,2023-09-11 17:00:00,215.77
278,2023-09-11 18:00:00,202.52
279,2023-09-11 19:00:00,184.59
280,2023-09-11 20:00:00,172.35
281,2023-09-11 21:00:00,125.39
282,2023-09-11 22:00:00,87.84
283,2023-09-11 23:00:00,59.04
284,2023-09-12 00:00:00,39.24
285,2023-09-12 01:00:00,30.06
286,2023-09-12 02:00:00,41.23
287,2023-09-12 03:00:00,44.34
288,2023-09-12 04:00:00,71.15
289,2023-09-12 05:00:00,87.38
290,2023-09-12 06:00:00,87.5
291,2023-09-12 07:00:00,112.23
292,2023-09-12 08:00:00,159.54
293,2023-09-12 09:00:00,201.54
294,2023-09-12 10:00:00,221.39
295,2023-09-12 11:00:00,236.36
296,2023-09-12 12:00:00,235.1
297,2023-09-12 13:00:00,243.96
298,2023-09-12 14:00:00,245.98
299,2023-09-12 15:00:00,245.82
300,2023-09-12 16:00:00,240.44
301,2023-09-12 17:00:00,217.09
302,2023-09-12 18:00:00,202.28
303,2023-09-12 19:00:00,183.23
304,2023-09-12 20:00:00,169.49
305,2023-09-12 21:00:00,123.23
306,2023-09-12 22:00:00,88.57
307,2023-09-12 23:00:00,59.12
308,2023-09-13 00:00:00,39.26
309,2023-09-13 01:00:00,30.16
310,2023-09-13 02:00:00,43.16
311,2023-09-13 03:00:00,44.33
312,2023-09-13 04:00:00,70.61
313,2023-09-13 05:00:00,87.25
314,2023-09-13 06:00:00,87.93
315,2023-09-13 07:00:00,111.51
316,2023-09-13 08:00:00,158.83
317,2023-09-13 09:00:00,203.37
318,2023-09-13 10:00:00,226.65
319,2023-09-13 11:00:00,233.84
320,2023-09-13 12:00:00,232.58
321,2023-09-13 13:00:00,231.98
322,2023-09-13 14:00:00,237.64
323,2023-09-13 15:00:00,232.95
324,2023-09-13 16:00:00,231.47
325,2023-09-13 17:00:00,216.56
326,2023-09-13 18:00:00,190.46
327,2023-09-13 19:00:00,182.45
328,2023-09-13 20:00:00,166.47
329,2023-09-13 21:00:00,121.48
330,2023-09-13 22:00:00,89.4
331,2023-09-13 23:00:00,58.18
332,2023-09-14 00:00:00,33.05
333,2023-09-14 01:00:00,29.94
334,2023-09-14 02:00:00,40.24
335,2023-09-14 03:00:00,44.04
336,2023-09-14 04:00:00,69.67
337,2023-09-14 05:00:00,87.56
338,2023-09-14 06:00:00,88.02
339,2023-09-14 07:00:00,107.42
340,2023-09-14 08:00:00,159.52
341,2023-09-14 09:00:00,201.82
342,2023-09-14 10:00:00,227.78
343,2023-09-14 11:00:00,235.44
344,2023-09-14 12:00:00,233.6
345,2023-09-14 13:00:00,231.57
346,2023-09-14 14:00:00,238.74
347,2023-09-14 15:00:00,232.75
348,2023-09-14 16:00:00,231.26
349,2023-09-14 17:00:00,217.27
350,2023-09-14 18:00:00,192.05
351,2023-09-14 19:00:00,180.27
352,2023-09-14 20:00:00,166.8
353,2023-09-14 21:00:00,121.51
354,2023-09-14 22:00:00,87.94
355,2023-09-14 23:00:00,59.15
356,2023-09-15 00:00:00,32.45
357,2023-09-15 01:00:00,30.07
358,2023-09-15 02:00:00,40.15
359,2023-09-15 03:00:00,44.35
360,2023-09-15 04:00:00,66.75
361,2023-09-15 05:00:00,87.27
362,2023-09-15 06:00:00,87.64
363,2023-09-15 07:00:00,106.24
364,2023-09-15 08:00:00,158.53
365,2023-09-15 09:00:00,202.54
366,2023-09-15 10:00:00,224.06
367,2023-09-15 11:00:00,233.75
368,2023-09-15 12:00:00,233.27
369,2023-09-15 13:00:00,233.4
370,2023-09-15 14:00:00,241.59
371,2023-09-15 15:00:00,245.78
372,2023-09-15 16:00:00,244.56
373,2023-09-15 17:00:00,218.47
374,2023-09-15 18:00:00,191.3
375,2023-09-15 19:00:00,182.47
376,2023-09-15 20:00:00,171.48
377,2023-09-15 21:00:00,127.69
378,2023-09-15 22:00:00,88.48
379,2023-09-15 23:00:00,57.83
380,2023-09-16 00:00:00,36.59
381,2023-09-16 01:00:00,37.33
382,2023-09-16 02:00:00,33.49
383,2023-09-16 03:00:00,33.06
384,2023-09-16 04:00:00,33.16
385,2023-09-16 05:00:00,30.17
386,2023-09-16 06:00:00,32.27
387,2023-09-16 07:00:00,35.23
388,2023-09-16 08:00:00,39.53
389,2023-09-16 09:00:00,44.35
390,2023-09-16 10:00:00,44.36
391,2023-09-16 11:00:00,44.37
392,2023-09-16 12:00:00,44.37
393,2023-09-16 13:00:00,44.38
394,2023-09-16 14:00:00,44.35
395,2023-09-16 15:00:00,44.37
396,2023-09-16 16:00:00,44.42
397,2023-09-16 17:00:00,44.36
398,2023-09-16 18:00:00,44.35
399,2023-09-16 19:00:00,44.4
400,2023-09-16 20:00:00,44.32
401,2023-09-16 21:00:00,44.4
402,2023-09-16 22:00:00,41.77
403,2023-09-16 23:00:00,34.46
404,2023-09-17 00:00:00,33.72
405,2023-09-17 01:00:00,33.77
406,2023-09-17 02:00:00,31.23
407,2023-09-17 03:00:00,30.17
408,2023-09-17 04:00:00,30.76
409,2023-09-17 05:00:00,29.96
410,2023-09-17 06:00:00,30.18
411,2023-09-17 07:00:00,33.34
412,2023-09-17 08:00:00,40.85
413,2023-09-17 09:00:00,44.35
414,2023-09-17 10:00:00,44.37
415,2023-09-17 11:00:00,44.37
416,2023-09-17 12:00:00,44.58
417,2023-09-17 13:00:00,44.82
418,2023-09-17 14:00:00,44.43
419,2023-09-17 15:00:00,44.49
420,2023-09-17 16:00:00,44.5
421,2023-09-17 17:00:00,44.42
422,2023-09-17 18:00:00,44.4
423,2023-09-17 19:00:00,44.33
424,2023-09-17 20:00:00,44.38
425,2023-09-17 21:00:00,44.34
426,2023-09-17 22:00:00,44.11
427,2023-09-17 23:00:00,36.57
428,2023-09-18 00:00:00,33.75
429,2023-09-18 01:00:00,30.12
430,2023-09-18 02:00:00,43.99
431,2023-09-18 03:00:00,44.33
432,2023-09-18 04:00:00,72.0
433,2023-09-18 05:00:00,87.54
434,2023-09-18 06:00:00,88.38
435,2023-09-18 07:00:00,111.19
436,2023-09-18 08:00:00,159.55
437,2023-09-18 09:00:00,200.88
438,2023-09-18 10:00:00,222.33
439,2023-09-18 11:00:00,58.91
440,2023-09-19 11:00:00,3769.4
441,2023-09-19 12:00:00,233.57
442,2023-09-19 13:00:00,232.06
443,2023-09-19 14:00:00,239.2
444,2023-09-19 15:00:00,232.36
445,2023-09-19 16:00:00,231.51
446,2023-09-19 17:00:00,51.39
